File,Manuscript Section
config.py,All hyperparameters (Sections 4-5)
data_generator.py,Section 5.1
model/encoder.py,"Section 4.1, Eq. 5"
model/neural_ode.py,"Section 4.2, Eq. 6-7"
model/liquid_nn.py,"Section 4.2, Eq. 8-10"
model/gated_fusion.py,"Section 4.3, Eq. 11-12"
model/attention_lstm.py,"Section 4.4, Eq. 13-20"
model/event_trigger.py,"Section 4.5, Eq. 21-22"
model/physics_loss.py,"Section 4.6, Eq. 23-24"
model/et_node_lnn.py,"Section 4.7, Eq. 25-26"
baselines.py,Section 5.3
train.py,Section 5.2
evaluate.py,Section 5.4
ablation.py,Table 3
generate_tables.py,Tables 1-4
plot_figures.py,"Figures 1, 3, 4, 5"
