Feature ID,Feature Name,Physiological Description,Unit,Raw Missing Rate (%),Derived Missing Rate (%),Derivation / Preprocessing Method,,
Trait_01,Plant_Height_mm,Vertical distance from soil surface to apical meristem,mm,8.5,0,Direct sensor reading + Linear interpolation for minor gaps,,
Trait_02,Rosette_Diameter_mm,Maximum horizontal span of the leaf rosette,mm,12.1,0,Top-down imaging extraction + GPR smoothing,,
Trait_03,Leaf_Area_cm2,Total projected green leaf area,cm2,15.3,0,RGB imaging segmentation + MLP context imputation (Eq. 17),,
Trait_04,Stem_Diameter_mm,Thickness of the main stem at the basal node,mm,10.2,0,Caliper/LiDAR measurement + GPR smoothing,,
Trait_05,Chlorophyll_Index_SPAD,Relative chlorophyll content indicator,SPAD,18.7,0,Portable meter reading + MLP context imputation (Eq. 17),,
Trait_06,Leaf_Temp_C,Canopy surface temperature,°„C,5.4,0,Thermal infrared sensor + Causal EMA normalization (Eq. 18),,
Trait_07,Canopy_Coverage_pct,Percentage of ground area covered by plant canopy,%,9.8,0,Overhead imaging analysis + GPR smoothing,,
Trait_08,Biomass_Est_g,Estimated fresh weight based on allometric equations,g,22.5,0,Destructive sampling anchor points + ODE-based growth curve fitting,,
Trait_09,Internode_Length_mm,Distance between consecutive nodes on the stem,mm,14.6,0,Imaging extraction + MLP context imputation (Eq. 17),,
Trait_10,Root_Length_mm,Primary root length (for early-stage hydroponic setups),mm,35.2,0,Rhizotron imaging + Heavy MLP imputation due to high MNAR,,
Trait_11,Water_Uptake_mL,Cumulative volume of water consumed from the substrate,mL,4.1,0,Gravimetric sensor logging + Causal EMA normalization (Eq. 18),,
Trait_12,Par_Intercepted_umol,Photosynthetically Active Radiation intercepted by canopy,¶Ãmol/m2/s,7.9,0,Quantum sensor array + GPR smoothing,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
